Provinsi;TPAK;TKK;TPT
ACEH;65.14;93.7;6.3
SUMATERA UTARA;69.39;93.99;6.01
SUMATERA BARAT;68.41;93.33;6.67
RIAU;65.81;95.04;4.96
JAMBI;67.3;95.24;4.76
SUMATERA SELATAN;69.95;94.83;5.17
BENGKULU;71.74;96.28;3.72
LAMPUNG;71.73;95.46;4.54
KEP. BANGKA BELITUNG;67.99;94.96;5.04
KEP. RIAU;66.39;89.88;10.12
DKI JAKARTA;65.12;91.49;8.51
JAWA BARAT;64.83;91.08;8.92
JAWA TENGAH;69.38;94.04;5.96
DI YOGYAKARTA;72.81;95.72;4.28
JAWA TIMUR;69.75;94.83;5.17
BANTEN;64.28;90.99;9.01
BALI;73.71;94.58;5.42
NUSA TENGGARA BARAT;71.32;96.03;3.97
NUSA TENGGARA TIMUR;73.29;96.62;3.38
KALIMANTAN BARAT;70.38;94.27;5.73
KALIMANTAN TENGAH;69.44;95.75;4.25
KALIMANTAN SELATAN;69.08;95.67;4.33
KALIMANTAN TIMUR;67.46;93.19;6.81
KALIMANTAN UTARA;66.17;95.33;4.67
SULAWESI UTARA;63.28;92.72;7.28
SULAWESI TENGAH;68.93;96.27;3.73
SULAWESI SELATAN;65.36;94.21;5.79
SULAWESI TENGGARA;70.76;95.78;4.22
GORONTALO;67.37;96.59;3.41
SULAWESI BARAT;71.71;96.72;3.28
MALUKU;64.4;93.27;6.73
MALUKU UTARA;64.31;94.94;5.06
PAPUA BARAT;68.11;93.82;6.18
PAPUA;73.47;96.23;3.77
